date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year
2017-04-18,0.58182,0.6414,5.14,-7.05434,0.68,0.097066,0.229619949,0.078484022,0.176346,0.425852,126.40172,220013.54,2017
2017-04-19,0.59334,0.603576,5.42,-7.93116,0.68,0.095232,0.274752388,0.104503634,0.168428,0.42431,123.48796,232292.32,2017
2017-04-20,0.5928,0.63976,5.28,-7.32852,0.6,0.102726,0.242260988,0.099102399,0.15089,0.444432,123.0595,227729.44,2017
2017-04-21,0.5766,0.60946,5.34,-7.75034,0.66,0.095624,0.28169966,0.129404546,0.151666,0.44083,120.80158,239668.98,2017
2017-04-22,0.57888,0.613596,5.34,-7.73248,0.68,0.099846,0.26052932,0.113327686,0.166818,0.44631,119.95272,235525.14,2017
2017-04-23,0.60734,0.610956,5.4,-7.79534,0.66,0.100588,0.29283664,0.101769172,0.16863,0.46115,122.84586,238580.06,2017
2017-04-24,0.62988,0.603356,5.9,-7.71296,0.72,0.102822,0.3132786,0.065372276,0.143778,0.466556,120.42052,232802.22,2017
2017-04-25,0.64774,0.62786,5.94,-6.50572,0.66,0.101892,0.236916336,0.015869366,0.149604,0.454016,121.91394,226101.08,2017
2017-04-26,0.65418,0.61872,5.52,-6.69022,0.66,0.106884,0.245494336,0.02970219,0.159968,0.474156,121.77202,225773.74,2017
2017-04-27,0.66716,0.63778,5.72,-6.44434,0.64,0.104052,0.203797536,0.026842033,0.173118,0.469396,121.99392,226587.2,2017
2017-04-28,0.68136,0.64328,5.36,-6.10116,0.6,0.118554,0.19664068,0.008805594,0.172288,0.480356,126.18558,218838.1,2017
2017-04-29,0.68942,0.6548,5.2,-6.00338,0.62,0.123364,0.20723468,0.011871602,0.170002,0.477938,126.30462,217524.34,2017
2017-04-30,0.69658,0.65724,4.92,-6.18966,0.58,0.13549,0.20377844,0.012409693,0.197818,0.484018,124.83154,214453.84,2017
2017-05-01,0.65724,0.6361,4.78,-6.59728,0.64,0.090064,0.20555304,0.034826523,0.16877,0.468784,117.73,231049.32,2017
2017-05-02,0.65562,0.62572,4.96,-6.70416,0.64,0.094888,0.20783764,0.034706425,0.175768,0.451624,118.1894,232013.04,2017
2017-05-03,0.66408,0.63366,4.94,-6.4801,0.68,0.084746,0.19413764,0.034942735,0.170702,0.450424,119.63576,231383.02,2017
2017-05-04,0.67038,0.6408,5.1,-6.41828,0.68,0.081164,0.18642204,0.027246509,0.164864,0.447784,117.56614,231376.64,2017
2017-05-05,0.66398,0.64816,4.72,-6.33908,0.68,0.080696,0.17467506,0.050860321,0.152418,0.461124,120.34664,225988.8,2017
2017-05-06,0.6711,0.65676,4.92,-6.34206,0.68,0.084334,0.1703916,0.040100916,0.143692,0.469684,118.99252,225532.9,2017
2017-05-07,0.6725,0.66202,5,-6.4809,0.68,0.086212,0.1523196,0.028182416,0.153622,0.484844,116.73408,223838.2,2017
2017-05-08,0.63442,0.64119,4.62,-6.49788,0.68,0.082298,0.17615752,0.06145525,0.147204,0.440358,121.13106,254099.64,2017
2017-05-09,0.63956,0.64805,4.94,-6.53452,0.68,0.084506,0.18128872,0.061752406,0.151034,0.44725,123.71776,258758.36,2017
2017-05-10,0.65554,0.64395,4.92,-6.5291,0.7,0.1052,0.20181592,0.058953454,0.17202,0.479124,122.43266,248030.9,2017
2017-05-11,0.65526,0.65131,4.78,-6.4235,0.72,0.103174,0.19707792,0.062953493,0.17486,0.476564,123.78962,247933.58,2017
2017-05-12,0.64004,0.64831,4.22,-6.44608,0.66,0.079528,0.18405186,0.043170416,0.168184,0.496544,121.5513,233384.9,2017
2017-05-13,0.64476,0.66067,4.32,-6.3706,0.66,0.082704,0.16653706,0.043178661,0.166,0.490724,120.1139,240698.28,2017
2017-05-14,0.64996,0.65137,4.08,-6.36808,0.66,0.087834,0.16752506,0.042504727,0.152278,0.493944,120.1073,228118.38,2017
2017-05-15,0.63934,0.63173,4.72,-6.3557,0.64,0.087212,0.19631956,0.044693605,0.169558,0.452128,122.4049,222529.42,2017
2017-05-16,0.62382,0.62828,4.78,-6.32724,0.62,0.093354,0.18033594,0.03919296,0.163464,0.447148,118.14278,219516.6,2017
2017-05-17,0.62762,0.63974,4.6,-6.30398,0.62,0.094148,0.17549226,0.03537256,0.167704,0.439388,118.32218,219774.54,2017
2017-05-18,0.57958,0.63162,5.5,-6.5821,0.56,0.082154,0.19699284,0.033302012,0.186082,0.427924,120.52044,236002.24,2017
2017-05-19,0.55412,0.64266,5.72,-6.38822,0.6,0.079308,0.20175985,0.043064781,0.215574,0.430406,125.91474,245002.88,2017
2017-05-20,0.54318,0.63692,6.34,-6.5406,0.6,0.07763,0.20455781,0.047432746,0.213594,0.404646,125.81612,251128.12,2017
2017-05-21,0.53648,0.63956,6.16,-6.54646,0.58,0.068724,0.21723767,0.047835946,0.21429,0.406926,123.69348,253161.84,2017
2017-05-22,0.57516,0.60436,5.62,-6.57944,0.6,0.093156,0.23520034,0.024505595,0.195078,0.432984,123.66368,244995.1,2017
2017-05-23,0.57852,0.60282,5.72,-6.70778,0.58,0.09152,0.23314434,0.024224225,0.202006,0.429884,123.48184,244432.14,2017
2017-05-24,0.5781,0.6236,5.58,-6.55878,0.54,0.089298,0.21913322,0.012223836,0.204418,0.46218,121.91782,241248.5,2017
2017-05-25,0.65452,0.60748,5.44,-6.74062,0.54,0.118692,0.21972826,0.022740449,0.186586,0.457918,121.72096,217722.86,2017
2017-05-26,0.66978,0.59694,5.4,-6.97458,0.52,0.13007,0.22965466,0.017784038,0.183386,0.46532,122.87566,212145.9,2017
2017-05-27,0.66566,0.58732,5.16,-7.12206,0.56,0.137752,0.21919986,0.024573758,0.190284,0.44434,124.24014,213352.48,2017
2017-05-28,0.67408,0.60122,5.1,-7.00332,0.56,0.134218,0.20361986,0.020889532,0.186564,0.456702,125.05812,213321.54,2017
2017-05-29,0.67492,0.62926,5.78,-6.57396,0.54,0.135142,0.1926389,0.030512652,0.214736,0.48849,119.16466,219123.04,2017
